time,seconds_elapsed,qw,qx,qy,qz
1152714318403,6.608128609,0.8964768,0.42489043,0.08209994,0.0951692
1152734337564,6.62814777,0.8965841,0.4246115,0.08215293,0.095356874
1152754387242,6.648197448,0.89675844,0.42427632,0.0819489,0.095385805
1152774406402,6.668216608,0.8969777,0.42384347,0.08173586,0.09543047
1152794456080,6.688266286,0.897208,0.42339754,0.081430145,0.09550649
1152814475240,6.708285446,0.89744675,0.42291993,0.081030905,0.09571866
1152834494400,6.728304606,0.897724,0.42235547,0.08065275,0.09593043
1152854544078,6.748354284,0.8980782,0.42160347,0.080383904,0.09614852
1152874563239,6.768373445,0.8983655,0.42095888,0.08034622,0.09631991
1152894612916,6.788423122,0.8986025,0.42045626,0.08027907,0.09636145
1152914632077,6.808442283,0.8988271,0.4200625,0.07981226,0.0963709
1152934681754,6.82849196,0.89906573,0.41970077,0.07907062,0.09633364
1152954700916,6.848511122,0.8991749,0.41954437,0.07870269,0.096295655
1152974750593,6.868560799,0.8991367,0.41956094,0.07892233,0.09640125
1152994769754,6.88857996,0.8989132,0.41988826,0.07953158,0.096559905
1153014819431,6.908629637,0.8986341,0.42040095,0.07987246,0.09664544
1153034838592,6.928648798,0.89843255,0.42086795,0.07973199,0.096602425
1153054888270,6.948698476,0.89825356,0.42131725,0.07947915,0.09651651
1153074907430,6.968717636,0.89793783,0.42202833,0.079514,0.096318334
1153094957108,6.988767314,0.897409,0.423111,0.07994808,0.096137814
1153114976268,7.008786474,0.8968322,0.4242769,0.080313586,0.09607723
1153135025946,7.028836152,0.89633846,0.42542312,0.08000453,0.09587426
1153155045106,7.048855312,0.895903,0.4266675,0.07876154,0.095443405
1153175094784,7.06890499,0.89538276,0.42804673,0.077623926,0.09507969
1153195113945,7.088924151,0.8946522,0.42931047,0.0792624,0.09490842
1153215163622,7.108973828,0.8942076,0.4302899,0.0794645,0.094492584
1153235182783,7.128992989,0.8938232,0.43128332,0.078509174,0.09439818
1153255232460,7.149042666,0.8934081,0.43220362,0.07802849,0.09451725
1153275251621,7.169061827,0.8929047,0.43312326,0.078270644,0.09486396
1153295301299,7.189111505,0.8923441,0.43408003,0.07874173,0.095374376
1153315320459,7.209130665,0.89184827,0.43497896,0.07900587,0.095698096
1153335370137,7.229180343,0.89127445,0.43601224,0.07935603,0.09605064
1153355389297,7.249199503,0.89061195,0.4372491,0.07948795,0.096463546
1153375438975,7.269249181,0.88992524,0.43848372,0.07973409,0.09699359
1153395458135,7.289268341,0.8892799,0.43954474,0.08043337,0.097531386
1153415507813,7.309318019,0.88881797,0.4403195,0.08097619,0.09779711
1153435526973,7.329337179,0.88853776,0.4408134,0.081142604,0.09798111
1153455576651,7.349386857,0.88831365,0.44119203,0.0811531,0.09829856
1153475595812,7.369406018,0.8880813,0.4416566,0.08081133,0.098593
1153495645489,7.389455695,0.8878338,0.44215098,0.08043501,0.09891478
1153515664650,7.409474856,0.8876163,0.4425019,0.08046653,0.09927017
1153535714327,7.429524533,0.8874076,0.44281626,0.08065481,0.09958116
1153555733489,7.449543695,0.88711494,0.4432714,0.0809478,0.099925324
1153575783166,7.469593372,0.88677865,0.44378212,0.08131152,0.100346245
1153595802327,7.489612533,0.8864546,0.44427276,0.08161119,0.100794785
1153615852005,7.509662211,0.8861972,0.44469228,0.08169587,0.10113896
1153635871165,7.529681371,0.8860698,0.44495466,0.0814762,0.10127914
1153655920843,7.549731049,0.8859019,0.4452635,0.08143962,0.10141896
1153676031554,7.56984176,0.885759,0.44553113,0.08146541,0.101471394
1153696081232,7.589891438,0.8855955,0.44585273,0.08148271,0.101472445
1153716100392,7.609910598,0.8854202,0.44619328,0.08135033,0.101611026
1153736119553,7.629929759,0.8852184,0.44657347,0.081228174,0.10179792
1153756169231,7.649979437,0.88497883,0.446988,0.081278086,0.10202089
